date_time_month,sentiment_weighted_agg_carosia_by_month_with_op,sentiment_agg_carosia_by_month_with_op,sentiment_agg_picault_by_month_with_op,sentiment_weighted_agg_carosia_by_month_with_sentilex,sentiment_agg_carosia_by_month_with_sentilex,sentiment_agg_picault_by_month_with_sentilex,sentiment_weighted_agg_carosia_by_month_with_vader,sentiment_agg_carosia_by_month_with_vader,sentiment_agg_picault_by_month_with_vader,normalized_sentiment_weighted_agg_carosia_by_month_with_op,normalized_sentiment_agg_carosia_by_month_with_op,normalized_sentiment_agg_picault_by_month_with_op,normalized_sentiment_weighted_agg_carosia_by_month_with_sentilex,normalized_sentiment_agg_carosia_by_month_with_sentilex,normalized_sentiment_agg_picault_by_month_with_sentilex,normalized_sentiment_weighted_agg_carosia_by_month_with_vader,normalized_sentiment_agg_carosia_by_month_with_vader,normalized_sentiment_agg_picault_by_month_with_vader
2013-08-01,-0.28924418604651164,-0.27361963190184047,-0.7883982414001913,-0.1909467644246095,-0.1575608036658442,-0.20979774555092878,-0.8283382221655401,-0.8264889855860756,-39.56833737864078,-1.6061,-2.4125,-2.278,-1.0694,-1.5001,-0.9087,-0.5334,-0.6029,-0.4879
2013-09-01,-0.08259587020648967,-0.08921644685802949,-0.15810600247083886,0.10623714873200822,0.12051649928263988,0.20838596010047528,-0.7030724377663153,-0.705743879472693,-32.03360281569966,-0.7561,-1.1904,-1.0006,0.0314,0.171,-0.0005,-0.0679,-0.072,0.1552
2013-10-01,-0.006802721088435374,-0.02193548387096774,-0.10617906356715555,0.12568306010928962,0.10904872389791183,0.4180053048712383,-0.8080994017487345,-0.8138633058652448,-38.32249344978166,-0.4443,-0.7445,-0.8954,0.1034,0.1021,0.4547,-0.4582,-0.5474,-0.3816
2013-11-01,0.07867132867132867,0.09689922480620156,0.4365309006853124,0.3082191780821918,0.33025830258302585,0.8171828441888483,-0.8378531073446328,-0.8352014541048167,-41.38966497747748,-0.0928,0.0431,0.2045,0.7796,1.4314,1.3216,-0.5688,-0.6413,-0.6434
2013-12-01,0.22014622258326563,0.25370531822144726,0.585930204170743,0.08032786885245902,0.1044776119402985,0.031185084445304927,-0.8008093525179856,-0.786083107941972,-40.94021820741436,0.4892,1.0823,0.5072,-0.0646,0.0746,-0.3854,-0.4311,-0.4253,-0.605
2014-01-01,0.09521126760563381,0.12333965844402277,0.3303928296258624,0.03213049925852694,0.033879781420765025,0.07923199577483375,-0.9153301546019361,-0.9119170984455959,-51.66145099246038,-0.0247,0.2183,-0.0106,-0.2431,-0.3497,-0.281,-0.8567,-0.9786,-1.52
2014-02-01,0.4198645598194131,0.4166666666666667,1.4543101335040334,0.37296690970274815,0.3592476489028213,0.734920102141819,-0.801210025929127,-0.8084696823869105,-42.107759487882944,1.3106,2.1624,2.2671,1.0194,1.6056,1.143,-0.4326,-0.5237,-0.7046
2014-03-01,0.24978687127024723,0.2897727272727273,0.8171936994021973,0.38271604938271603,0.37354988399071926,0.9422426639296467,-0.8456461030718456,-0.8395303326810176,-40.6860605256172,0.6111,1.3214,0.9759,1.0555,1.6916,1.5932,-0.5978,-0.6603,-0.5833
2014-04-01,-0.0762081784386617,-0.023255813953488372,-0.10547778529845728,0.017543859649122806,-0.010416666666666666,0.17889196308052266,-0.819509650495566,-0.8280649926144756,-39.872202680067,-0.7298,-0.7532,-0.894,-0.2972,-0.6159,-0.0646,-0.5006,-0.6099,-0.5138
2014-05-01,0.33080260303687636,0.2544747081712062,0.9025384676836093,0.14942528735632185,0.08597285067873303,0.33440443659673713,-0.8415799532809514,-0.8533593532199609,-41.454308838643364,0.9443,1.0874,1.1489,0.1914,-0.0366,0.2731,-0.5826,-0.7211,-0.6489
